ADF effect strength initiating heroin with Rx OUD	Base survival probability H OD relative to Rx	Base survival probability Rx OD	Developing HUD rate no Rx OUD 	Developing HUD rate with Rx OUD 	Developing Rx OUD rate 	Fentanyl effect on base survival max relative to H	Fentanyl effect on OD rate H max	Fraction Nx kits to H users 	Heroin availability strength developing HUD	Heroin availability strength initiating NDHU no Rx	Heroin availability strength net quit NDHU	Initial stock correction[RXM]	Initial stock correction[NDH]	Initial stock correction[OUB]	Initial stock correction[OUM]	Initial stock correction[OUV]	Initial stock correction[OUT]	Initial stock correction[OUR]	Initial stock correction[OUS]	Initial stock correction[OHB]	Initial stock correction[OHM]	Initial stock correction[OHV]	Initial stock correction[OHT]	Initial stock correction[OHR]	Initial stock correction[OHS]	Initial stock correction[HUB]	Initial stock correction[HUM]	Initial stock correction[HUV]	Initial stock correction[HUT]	Initial stock correction[HUR]	Initial stock correction[HUS]	Initiating heroin no Rx base 	Initiating Rx misuse diverted base 	Initiation rate heroin with Rx misuse 	Initiation rate heroin with Rx OUD relative to Rx misuse	Initiation rate Rx misuse own Rx 	Net quit rate heroin with Rx misuse 	Net quit rate heroin with Rx OUD 	Net quit rate NDHU 	Net quit rate Rx misuse	NSDUH misuse redefinition fixed effect	Nx kit distribution efficiency	Overdose rate base HUD	Overdose rate NDHU relative to HUD	Overdose rate base Rx misuse	Overdose rate base Rx OUD	Overdose rate synth baseline	Perceived risk strength initiating heroin with Rx use	Perceived risk strength initiating NDHU no Rx	Perceived risk strength initiating Rx misuse diverted	Perceived risk strength initiating Rx misuse own Rx	Perceived risk strength net quit heroin with Rx OUD	Perceived risk strength net quit NDHU	Perceived risk strength net quit NDHU with Rx	Perceived risk strength net quit Rx misuse	Relapse rate HUD	Relapse rate Rx OUD relative to HUD	Remission rate Rx OUD relative to HUD	Rx availability strength developing Rx OUD	Rx availability strength initiating Rx misuse	Rx availability strength net quit Rx misuse	Rx vs H availability strength developing HUD with Rx OUD	Rx vs H availability strength initiating heroin with Rx OUD	Rx vs H availability strength initiating NDHU with Rx	Social influence strength developing HUD	Social influence strength developing Rx OUD	Social influence strength initiating heroin with Rx OUD	Social influence strength initiating NDHU no Rx	Social influence strength initiating NDHU with Rx	Social influence strength initiating Rx misuse	Time to stabilize remission	Tx seeking rate Rx OUD no H total
0.43737442	0.98626962	0.97049586	0.051210225	0.63377367	0.026922503	0.75651049	2.0200107	0.93650972	1.00E-06	0.043078339	1.5078231	1.2	1.1803803	0.86999325	0.91052137	1.0191648	1.0377784	0.8	0.80165035	0.95127704	0.97901526	1.1504405	1.2	0.94438916	0.95661604	0.86088527	1.2	0.94915685	0.8	1.1310052	1.1753099	117303.03	1800000	0.014374698	3.9323472	0.032278896	0.15925928	0.031043395	0.42451693	0.17546167	0.44154457	0.000347001	0.16864749	0.25277683	0.001469759	0.22951922	0.007632345	0.92117951	0.42692248	0.43843324	0.46475892	0.022460485	0.037911658	1.00E-06	0.51848023	0.52178834	0.17736984	1.1119825	1.1839552	0.038005485	1.2551796	0.99365263	0.053401118	0.23524305	0.056453076	0.14726527	1.9674437	0.32874347	1.7081539	1.099711	9.4009545	0.49114926
0.13438317	0.98354782	0.97361238	0.053494362	0.56295593	0.029889556	0.77659715	2.0121524	0.9344711	0.20629641	0.045729131	1.4825905	1.1645164	1.1887838	0.98043444	0.94821955	1.0129078	0.9549256	0.8	0.81283521	0.85544408	0.93290741	0.8	1.2	0.85385812	0.97693277	0.88972666	1.1443194	0.8037645	0.8	1.1364451	1.1999179	117717.11	1854310	0.014150403	3.8903554	0.030665621	0.22015488	0.082176898	0.36171421	0.14577025	0.3945983	0.000351218	0.17971844	0.25230188	0.001	0.2571774	0.008704863	0.8761925	0.39231699	0.46276657	0.41595904	1.00E-06	1.00E-06	0.044059401	0.65233611	0.57358107	0.27224048	1.381512	1.2183255	0.077027694	1.734303	1.1598784	0.00962189	0.052035942	0.013874072	0.009644899	1.989334	0.35344497	1.7832135	0.79387628	9.2460292	0.43118857
0.25061224	0.97553863	0.97426472	0.058551073	0.57144022	0.026612284	0.74217905	2.0243943	0.93061336	0.051046682	1.00E-06	1.0762833	1.1794422	1.185632	1.1901118	1.1235004	0.98834534	1.0153174	0.83028122	0.81804708	1.0764592	1.1772671	0.89595259	1.0509039	1.0605206	0.98944592	0.95346781	1.1654504	0.90375958	0.81061132	1.0804425	1.194083	121750.68	1911424.7	0.013445385	4.2451818	0.033948849	0.18527018	0.044344981	0.37550233	0.16909721	0.44385469	0.00033013	0.15322688	0.25775689	0.002665156	0.25985577	0.007650556	0.96207846	0.36852402	0.54070847	0.6990579	0.21664218	1.00E-06	1.59E-05	0.42744778	0.57014963	0.15123105	1.0683343	1.3371523	0.13953177	1.2242163	1.4136422	1.00E-06	0.26689864	1.00E-06	0.098418554	2	0.32387683	1.8214728	0.79265733	9.594058	0.4510895
1.00E-06	1	0.95886917	0.050370288	0.49009757	0.031118347	0.7959389	2.0100313	0.87708557	1.00E-06	0.001787733	1.4129228	1.1100229	1.1998586	0.90528668	0.8	0.95829339	0.8110174	0.86114063	0.80658376	0.80970738	0.8	0.85772447	0.99426107	1.0649723	0.82695314	1.1952974	1.1349903	0.94594205	0.82470163	1.0954837	1.173624	110181.29	1943656.9	0.014309652	3.9945989	0.03271214	0.098643309	0.055125107	0.5	0.11474664	0.46500709	0.0003604	0.19908884	0.25921502	0.001	0.16358464	0.009655996	0.92432313	0.11347807	0.48727915	0.48199854	0.10865272	0.01657797	0.030319454	0.80215866	0.5128493	0.30370493	1.359895	1.2219401	0.2223464	2	1.4615175	0.006694233	0.113764	0.000363563	0.043926739	1.9470503	0.05565669	1.702429	0.73907336	9.5585157	0.4459852
0.070924523	0.98179497	0.97541634	0.05019392	0.53362216	0.024277527	0.79079907	2.001467	0.94513058	0.005954258	0.039998926	1.0812851	1.1852469	1.1634728	0.80892267	1.0768209	1.0219829	1.0973791	0.8	0.80058631	0.91234649	1.0285159	0.84598815	1.0034809	1.0509211	1.2	0.92619088	1.1782483	1.013812	0.8	1.0928248	1.1923459	124498.06	1825822.7	0.013135074	3.8261662	0.030443905	0.09842003	0.016732403	0.46656189	0.16288402	0.46944337	0.000343684	0.18102913	0.25117009	0.001	0.26945949	0.008655455	0.87329538	0.48019459	0.41601658	0.50333387	0.025437707	1.00E-06	0.052571264	0.57917633	0.60119295	0.21033652	1.2083765	1.33929	0.028677522	1.1905857	1.4826557	0.048972609	0.24405577	0.044384739	0.26284747	1.9563041	0.23187395	1.7890141	0.86946429	9.6133556	0.670219
0.23254216	0.98183413	0.97448338	0.050829298	0.43452378	0.028372325	0.74994167	2.0000436	0.92937623	0.048823118	1.61E-06	1.4596007	1.1091343	1.1824321	1.2	1.0166955	0.8	0.97588606	0.82547266	0.80156884	0.95484373	0.90793384	0.8	0.94684821	1.1630675	0.87026883	1.1373483	1.1084783	1.0476238	0.81682565	1.1713286	1.2	117003.95	1818552.6	0.012279049	4.7548698	0.033250763	0.11816817	0.15009306	0.45894651	0.12449093	0.43221835	0.000360222	0.15985106	0.42203871	0.003958384	0.25322809	0.007840898	1.0614353	0.25905763	0.4586718	0.39599494	1.00E-06	0.038466012	1.00E-06	0.88236883	0.69694671	0.16785729	1.1377918	0.90664198	0.17604834	1.3987286	1.6506925	0.051991748	0.2705886	0.025559156	0.13101786	1.9598467	0.11295473	1.93255	0.82856524	9.3584934	0.68285337
0.44333469	0.98712879	0.97371314	0.053056382	0.52974349	0.031761226	0.79448393	2.0120637	0.93135143	0.10682175	0.13281231	1.0784795	1.0947715	1.1935744	0.86493991	1.0961087	0.8	0.87359078	0.84961952	0.80386934	1.1648512	1.1498113	0.86753828	0.8	0.94639324	0.99950303	0.88540781	1.1878603	1.0889259	0.8	0.87686153	1.1862342	118370.88	1841643.4	0.012530958	4.6907562	0.030643225	0.072236979	0.063605191	0.4907529	0.12319745	0.48711218	0.000348612	0.19665771	0.25207124	0.001816662	0.25662867	0.009300005	0.82981892	0.24889826	0.49172069	0.43336826	0.015152101	0.065566458	0.037597036	0.72898855	0.54736498	0.21086881	1.2397278	1.0805528	0.14504897	1.8296967	1.290573	0.023288261	0.066001297	1.00E-06	0.082144749	1.8163983	0.00929385	1.8840486	0.95306196	9.5097825	0.52962343
0.052595568	0.97615657	0.9738298	0.052945189	0.54841385	0.030656892	0.74427222	2.0091676	0.93712021	0.007621319	1.00E-06	1.1280886	1.2	1.1852948	1.2	0.94077969	0.95349473	0.87256559	0.8	0.8	0.96497747	1.1659898	0.93745024	1.021366	0.82722005	1.0193941	0.88942807	1.1388696	0.85356527	0.83804488	0.91607193	1.1735961	121317.84	1874297	0.013373759	4.1894847	0.036769163	0.10470518	0.029317702	0.48764226	0.14531986	0.48490067	0.000350655	0.15634329	0.2587295	0.001516136	0.26314226	0.007464287	0.94142508	0.25233711	0.40209372	0.6691933	0.12445665	0.019339457	1.00E-06	0.65721232	0.54754145	0.1571555	1.0401861	1.2801866	1.00E-06	1.9241167	1.4699034	0.016020556	0.057203471	0.033975758	1.00E-06	1.9989561	0.12331862	1.9200028	0.90535656	8.9968535	0.44580171
0.16941569	0.97923484	0.97404714	0.051166534	0.54446206	0.029852416	0.7500009	2.0216765	0.93621939	0.0562451	0.068705441	1.0592338	1.1223378	1.1690747	0.89147681	1.1164589	0.95950751	0.91890596	0.83122326	0.8	0.90680966	0.81106724	1.0815351	1.2	1.1006366	0.87285771	0.93772365	1.1977204	1.0383697	0.8	1.0886918	1.184659	121122.25	1835459.7	0.01325761	4.3298002	0.02718278	0.1535475	0.066244884	0.39313066	0.14220184	0.38990587	0.000363211	0.16315357	0.25223822	0.002136523	0.25845695	0.007582567	0.93600372	0.28303718	0.48859972	0.2986422	1.00E-06	0.01639375	0.035202017	0.50307372	0.59487866	0.21785059	1.2939109	0.92684702	0.24021185	0.93309962	1.1822487	0.025633568	0.046311332	0.02784001	0.1376021	2	0.109884	1.9232251	0.91517036	9.5213043	0.56775115
0.033454049	0.97994696	0.97256381	0.050086146	0.47146801	0.030989336	0.75651598	2	0.93878894	0.087477825	0.14535751	1.2347789	1.1998281	1.2	0.83906664	1.123262	0.96089239	0.8674311	0.8	0.80254572	1.0451346	1.0821967	1.1286948	1.055298	0.85410731	0.83515765	1.1353959	1.116372	1.0781131	0.81125269	1.1447533	1.193577	114629.71	1967009.6	0.014283552	3.8944505	0.031049388	0.1001097	0.033603218	0.5	0.12928805	0.4404093	0.000343429	0.1641701	0.25	0.001170481	0.25343945	0.007581383	0.96941945	0.45129989	0.53307198	0.35408353	0.48669994	0.010440409	0.027969796	0.69434762	0.64148882	0.15105631	1.15564	1.0059903	0.62559218	1.2968812	1.8801002	0.049237703	0.11458467	0.049975375	0.044576513	1.9914082	0.34275246	1.827016	0.63383728	9.5197777	0.4093342
