ADF effect strength initiating heroin with Rx OUD	Base survival probability H OD relative to Rx	Base survival probability Rx OD	Developing HUD rate no Rx OUD 	Developing HUD rate with Rx OUD 	Developing Rx OUD rate 	Fentanyl effect on base survival max relative to H	Fentanyl effect on OD rate H max	Fraction Nx kits to H users 	Heroin availability strength developing HUD	Heroin availability strength initiating NDHU no Rx	Heroin availability strength net quit NDHU	Initial stock correction[RXM]	Initial stock correction[NDH]	Initial stock correction[OUB]	Initial stock correction[OUM]	Initial stock correction[OUV]	Initial stock correction[OUT]	Initial stock correction[OUR]	Initial stock correction[OUS]	Initial stock correction[OHB]	Initial stock correction[OHM]	Initial stock correction[OHV]	Initial stock correction[OHT]	Initial stock correction[OHR]	Initial stock correction[OHS]	Initial stock correction[HUB]	Initial stock correction[HUM]	Initial stock correction[HUV]	Initial stock correction[HUT]	Initial stock correction[HUR]	Initial stock correction[HUS]	Initiating heroin no Rx base 	Initiating Rx misuse diverted base 	Initiation rate heroin with Rx misuse 	Initiation rate heroin with Rx OUD relative to Rx misuse	Initiation rate Rx misuse own Rx 	Net quit rate heroin with Rx misuse 	Net quit rate heroin with Rx OUD 	Net quit rate NDHU 	Net quit rate Rx misuse	NSDUH misuse redefinition fixed effect	Nx kit distribution efficiency	Overdose rate base HUD	Overdose rate NDHU relative to HUD	Overdose rate base Rx misuse	Overdose rate base Rx OUD	Overdose rate synth baseline	Perceived risk strength initiating heroin with Rx use	Perceived risk strength initiating NDHU no Rx	Perceived risk strength initiating Rx misuse diverted	Perceived risk strength initiating Rx misuse own Rx	Perceived risk strength net quit heroin with Rx OUD	Perceived risk strength net quit NDHU	Perceived risk strength net quit NDHU with Rx	Perceived risk strength net quit Rx misuse	Relapse rate HUD	Relapse rate Rx OUD relative to HUD	Remission rate Rx OUD relative to HUD	Rx availability strength developing Rx OUD	Rx availability strength initiating Rx misuse	Rx availability strength net quit Rx misuse	Rx vs H availability strength developing HUD with Rx OUD	Rx vs H availability strength initiating heroin with Rx OUD	Rx vs H availability strength initiating NDHU with Rx	Social influence strength developing HUD	Social influence strength developing Rx OUD	Social influence strength initiating heroin with Rx OUD	Social influence strength initiating NDHU no Rx	Social influence strength initiating NDHU with Rx	Social influence strength initiating Rx misuse	Time to stabilize remission	Tx seeking rate Rx OUD no H total
0.069908219	0.9704728	0.97413133	0.050005219	0.44954231	0.029288202	0.79184951	2.0214671	0.94936557	0.21231959	0.083849217	0.80115775	1.1918795	1.1771111	0.95271011	1.1607638	1.1459438	0.94406396	0.80453857	0.80133184	1.087223	0.89512981	0.86581777	1.1204021	1.053388	1.0797695	0.89689453	1.1496289	1.037834	0.8128953	0.82274592	1.2	115952.49	1819236.3	0.01262164	4.1987297	0.02908051	0.060358617	0.02519317	0.47705181	0.13205175	0.41551167	0.00033746215	0.18409276	0.27516177	0.0021065657	0.36299448	0.011603531	0.87196633	0.33413448	0.48671086	0.3574256	0.29487992	1e-06	0.22258306	0.58934969	0.57912564	0.13319127	1.0632929	1.2656012	0.35967289	1.0227003	1.7881358	0.016697478	0.19050522	0.052536146	0.026620621	1.9662534	0.19862244	1.8323126	0.88427261	10.180178	0.50048699
1e-06	0.9757288	0.96704319	0.053483658	0.44182327	0.031263512	0.8	2.0	0.94079582	0.10112854	0.0017325908	1.2836081	1.2	1.1499605	1.003675	0.84639266	1.1163904	0.89273128	0.81192382	0.80368892	0.9494491	0.8	0.9886059	0.86210257	0.82938136	0.86292488	0.93450111	1.1948969	0.85890149	0.80932187	0.84003684	1.1679436	122541.51	1800000.0	0.01346326	3.7463147	0.035816838	0.095479933	0.016440587	0.49447239	0.13552214	0.42367265	0.00033488614	0.1846906	0.25466878	0.0014038072	0.28041043	0.011902614	0.90392137	0.28972601	0.37369775	0.51782264	0.22907454	0.056275632	0.0017034037	0.68203234	0.54478435	0.1631042	1.0594623	1.3494161	0.20603494	1.4382981	1.9456412	0.047739956	0.092798958	0.028538649	1e-06	2.0	0.13772044	1.7414447	0.94263909	9.2050299	0.45158883
1e-06	0.97186166	0.97417881	0.05	0.45372172	0.032313906	0.79165701	2.0020748	0.95	1e-06	0.024297937	1.1178816	1.159037	1.1746948	0.90923643	0.84926006	0.80048959	0.86403332	0.83661705	0.8116986	1.0483128	0.8	0.83443958	0.90792429	0.93627884	1.0082037	1.0580624	1.1992166	1.0004537	0.80852905	1.1120558	1.1905001	115239.1	1812953.9	0.01301791	4.1869531	0.033678077	0.12555375	0.012454003	0.47186281	0.10609628	0.46804621	0.00035393632	0.1859414	0.25219531	0.001	0.36812139	0.011676186	0.87400193	0.21539985	0.39324413	0.40806357	0.064395209	1e-06	0.025223853	0.9829962	0.56709129	0.12312279	1.0738139	1.0084154	0.2695575	1.8790129	1.9489199	0.016487371	0.12630177	0.02981583	0.074309427	1.9946268	0.10529206	1.8151328	0.83941028	9.9736514	0.4952277
0.017029559	0.97379639	0.97287074	0.054744272	0.49920312	0.029274253	0.79962113	2.0273786	0.93728237	0.050776577	0.10620544	1.671663	1.1775293	1.1896871	1.0372528	0.91056455	0.91357377	0.88623198	0.86178274	0.80681293	0.83457231	1.0120046	0.91522526	1.0504249	1.0577726	1.0867696	0.91456186	1.12079	0.9608254	0.82371312	0.83522754	1.1833675	116127.96	1917944.7	0.013392987	4.169053	0.03032647	0.16581706	0.014440924	0.42510668	0.13026205	0.46171865	0.00035349286	0.18061097	0.29194511	0.0027702804	0.34052632	0.012101425	0.98618765	0.26173479	0.50954636	0.38667069	0.055030877	1e-06	0.030439044	0.75045237	0.61593679	0.14876853	1.1075731	1.1742472	0.51089587	1.5124787	1.6150113	0.031427616	0.32032593	0.05205684	0.10687262	1.9658075	0.081496604	1.7292621	0.75389987	9.9163634	0.47842068
0.069889552	0.9668548	0.97549024	0.054747045	0.4852461	0.031902457	0.79816608	2.1851947	0.94595047	0.034056862	0.019044861	1.4715145	1.1352031	1.1841734	0.88611854	1.0790105	1.1200635	0.90847908	0.8050064	0.80406171	1.0263649	1.1754552	0.84071349	1.0158092	0.84228489	1.1800683	1.0602061	0.93824844	1.0985912	0.80102869	1.0102381	1.1467472	113526.34	1913534.1	0.013509713	3.7868622	0.042357527	0.1565403	0.022494674	0.45942895	0.1232769	0.48638981	0.00034918993	0.18821301	0.25158307	0.0019790485	0.37457082	0.01155415	0.79066334	0.3188348	0.46098096	0.77935993	0.099382809	0.090127121	0.015313552	0.85594594	0.44078766	0.16976	1.0109559	1.3568498	0.30891506	1.8916324	1.818151	0.012727949	1e-06	0.017167666	1e-06	1.9815843	0.19520473	1.7934041	0.65230651	9.4478884	0.43906291
0.022200531	0.96775064	0.97600152	0.05	0.51691385	0.031922574	0.79357584	2.0538518	0.95	0.18258221	1e-06	1.9690131	1.1783161	1.1847096	1.0307428	1.0657481	1.0193018	0.84987899	0.81077585	0.82740591	1.1494938	0.83266936	1.0267433	1.049196	1.2	1.0069016	1.0469631	1.1619268	1.1402779	0.80263072	1.12151	1.1677904	124016.81	1807495.7	0.013642918	4.0183447	0.038924126	0.19470221	0.0117142	0.46753979	0.12110944	0.5	0.00033465591	0.18376456	0.25	0.0011562248	0.38544721	0.011682154	0.87358596	0.35226815	0.31626006	0.6800151	0.5	0.053912228	0.0043443593	0.90299234	0.50531022	0.15072381	1.0	1.2942759	0.048723182	2.0	1.5626762	0.042515575	0.10106401	0.026043746	0.0045361758	1.9268674	0.20879639	1.7909672	0.80174005	10.131187	0.35791179
0.030888311	0.98257076	0.96490308	0.05	0.54490225	0.031419603	0.78583847	2.0118201	0.92953227	0.10638583	0.018084742	1.7051313	1.2	1.1226918	1.2	0.87740395	0.90087417	0.8174846	0.82963475	0.80829804	1.0233142	1.1241938	0.96035328	1.0807606	0.86720597	0.99568966	1.0697784	1.1742155	1.1138215	0.80160417	1.1235169	1.2	119022.71	1859245.1	0.012555757	4.1813128	0.038089002	0.16467076	0.011438145	0.45087973	0.1199193	0.49454536	0.00035426163	0.18860187	0.25750034	0.0010992301	0.27124821	0.011470283	0.77783262	0.43631068	0.43792398	0.65558296	0.5	0.095517271	0.028055102	0.82101433	0.54408224	0.13617879	1.0306184	1.0902624	0.2193686	1.8458841	1.4619334	0.04718917	0.058621279	0.019133963	0.028039981	1.8491468	0.33485168	1.7503013	0.97347599	10.284201	0.42192903
0.14389435	0.97065139	0.96783686	0.05146789	0.41255544	0.034248386	0.79878642	2.0445663	0.93612755	0.19929006	0.026444334	2.0	1.1146993	1.2	0.89040267	1.1010903	1.0471639	0.82478943	0.80793794	0.80700071	1.0911838	0.95338085	0.97811502	0.90573186	1.1612658	0.99605387	1.032448	1.1224865	1.0159452	0.8	0.90366509	1.1876627	120705.59	1916354.7	0.012817295	4.2321205	0.039285016	0.18123732	0.01117684	0.46074969	0.11111328	0.5	0.00035137755	0.17330252	0.26485588	0.0010289861	0.284876	0.011287404	0.91270127	0.28446122	0.4084829	0.57698729	0.41312677	0.046460878	0.0035359472	0.79070674	0.56621759	0.13998381	1.0266936	1.4227114	0.28036833	1.8246178	1.6958501	0.020590588	0.18266496	0.032357276	1e-06	1.912282	0.1146304	1.7739148	0.6841889	10.045883	0.38310954
1e-06	0.97869247	0.96681742	0.05013102	0.49324687	0.030940044	0.79550456	2.0065219	0.93005021	0.14112344	0.0015492971	1.3795406	1.2	1.1732381	1.073492	0.84074188	1.0100707	0.87256272	0.82973676	0.81354313	1.0622267	0.97690771	1.1595848	1.0402123	1.0350912	1.1793499	0.81147531	1.1737756	0.92802964	0.80307909	1.0131163	1.1327592	116818.09	1957454.7	0.013398568	3.9733567	0.03331756	0.083143512	0.018146017	0.49964645	0.13350691	0.48875642	0.00035017284	0.18529678	0.26271529	0.001	0.2819715	0.011776656	0.92130049	0.40668235	0.45642731	0.51989959	0.4094395	0.016929423	0.047610987	0.75214117	0.55326533	0.13442775	1.0036095	1.3360084	0.40646116	1.6963601	1.6243346	1e-06	0.14390322	0.097048111	0.0039769603	1.996935	0.35569269	1.7511727	0.67887468	9.7725429	0.45998868
1e-06	0.98075378	0.96737837	0.050015184	0.52105833	0.031698119	0.79775907	2.0615567	0.93702454	0.15251531	0.060388023	1.3006072	1.1175704	1.177379	1.0445829	0.87055021	1.0554503	0.92645082	0.9035132	0.81306242	1.171795	0.92307338	0.84584864	1.1235153	0.8	1.124766	0.98597595	1.1644719	0.91516091	0.8	1.2	1.1951422	121006.69	1884921.3	0.012736081	4.4767425	0.039728406	0.11270465	0.016224761	0.49455561	0.11672371	0.46222613	0.00034126517	0.18641878	0.25769597	0.0017705471	0.2773527	0.011959026	0.97737168	0.33328373	0.47615258	0.69626968	1e-06	0.029492713	0.012074621	0.89414427	0.54929602	0.17018074	1.100267	1.4222723	0.3862572	1.8882676	1.510449	0.041754558	0.13676995	1e-06	1e-06	1.9632581	0.12219831	1.949265	0.67155753	9.4102362	0.69447415
